climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
santuario-di-montecastello,Santuario di Montecastello,IT,Lombardy,from Muslone,2,7.7,433,5.6,17.0,,45.74215,10.73342,45.71426,10.70114,,https://cycletrip.pro/climbs/santuario-di-montecastello
portella-croce-di-cumia,Portella Croce di Cumia,IT,Sicily,from San Michele,2,5.7,368,6.5,15.3,850,38.17907,15.47569,38.21594,15.50657,,https://cycletrip.pro/climbs/portella-croce-di-cumia
col-des-bagenelles,Col des Bagenelles,FR,Vosges,from Le Bonhomme,3,4.4,215,4.9,10.6,905,48.19248,7.11394,48.17226,7.11485,Q2982208,https://cycletrip.pro/climbs/col-des-bagenelles
col-des-bagenelles,Col des Bagenelles,FR,Vosges,from Sainte-Marie-aux-Mines,2,11.3,524,4.6,12.3,905,48.19248,7.11394,48.2437,7.18093,Q2982208,https://cycletrip.pro/climbs/col-des-bagenelles
parlasco,Parlasco,IT,Lombardy,from Bellano,2,6.4,391,6.1,13.5,588,46.02017,9.33071,46.04407,9.30306,,https://cycletrip.pro/climbs/parlasco
col-de-la-croix-saint-robert,Col de la Croix Saint-Robert,FR,Massif Central,from Chambon-sur-Lac,3,9.1,330,3.6,9.7,1451,45.5641,2.83597,45.54509,2.87103,Q2982164,https://cycletrip.pro/climbs/col-de-la-croix-saint-robert
col-de-la-croix-saint-robert,Col de la Croix Saint-Robert,FR,Massif Central,from Mont-Dore,2,5.8,369,6.4,10.3,1451,45.5641,2.83597,45.56824,2.8131,Q2982164,https://cycletrip.pro/climbs/col-de-la-croix-saint-robert
przelecz-karkonoska,Przełęcz Karkonoska,PL,Sudety,from Labská,2,9.5,475,5.0,8.6,1198,50.76283,15.634,50.72531,15.60653,,https://cycletrip.pro/climbs/przelecz-karkonoska
kreuzbergpass-passo-monte-croce-di-comelico,Kreuzbergpass - Passo Monte Croce di Comelico,IT,Dolomites,from Santo Stefano di Cadore,2,24.7,774,3.1,11.5,1636,46.65594,12.42011,46.53919,12.52701,Q360740,https://cycletrip.pro/climbs/kreuzbergpass-passo-monte-croce-di-comelico
kreuzbergpass-passo-monte-croce-di-comelico,Kreuzbergpass - Passo Monte Croce di Comelico,IT,Dolomites,from Welsberg - Monguelfo,3,28.4,550,1.9,11.2,1636,46.65594,12.42011,46.7512,12.11195,Q360740,https://cycletrip.pro/climbs/kreuzbergpass-passo-monte-croce-di-comelico
raso-de-la-cruz,Raso de la Cruz,ES,Canary Islands,from Los Pedacitos,2,10.3,493,4.8,20.3,580,28.19368,-17.23347,28.17445,-17.18702,,https://cycletrip.pro/climbs/raso-de-la-cruz
